time,presentation_de,presentation_fr,url,presenter_de,presenter_fr
08:30 - 09:00,"Eintreffen, Anmeldung","Arrivée, réception",,,
09:00 - 09:05,Begrüssung,Mot de bienvenue,,Isabel Kiefer (OPENGIS.ch),
09:05 - 09:30,Was gibt es Neues in QGIS?,Quoi de neuf chez QGIS?,https://drive.google.com/file/d/1u6jbSoQHacwOyi9aPB1Mv0ObpgHhWEFx/view?usp=sharing,Marco Bernasocchi (OPENGIS.ch),
09:30 - 09:50,INTERLIS Validierung in QGIS,INTERLIS validation dans QGIS,https://signedav.github.io/interlis-validierung-in-qgis/interlis-validierung-in-qgis.html#/,Oliver Grimm (Geowerkstatt)<br/>David Signer (OPENGIS.ch),
09:50 - 10:10,Migration von Abwasser- und GEP-Daten nach TEKSI Abwasser (ehemals QGEP),Migration des données des eaux usées et des PGEE vers TEKSI Abwasser (anciennement QGEP),https://drive.google.com/file/d/1_3ICwghHkXoIjkGIeaWdyCcdVTaqe572/view?usp=sharing,Urs Kaufmann (Holinger AG),
10:10 - 10:30,Gestion du cimetière de Vevey,Gestion du cimetière de Vevey,https://drive.google.com/file/d/1urZBezWF-6jD9R3AJJLxaGTYqW5Lvq9B/view?usp=sharing,Rémi Bovard<br/>(Ville de Vevey),
10:30 - 11:00,Kaffeepause,Pause café,,,
11:00 - 11:20,Erhebung Strassenzustand in der Stadt Biel Workflow aus Fachschale => FME => QGIS und QField und zurück,Relevé de l'état des routes en ville de Bienne Workflow à partir du module métier => FME => QGIS et QField et retour,https://drive.google.com/file/d/1vnfFyYxoES9hZyka86nHpvD74klmaW38/view?usp=sharing,Christoph Lauber (GeoplanTeam AG),
11:20 - 11:35,Signalo - Fachschale zur Erfassung von Verkehrsschildern und Signalisation,Signalo - Module métier pour le relevé de la signalisation verticale,https://drive.google.com/file/d/1dw-XwMf6SJuLZZMlc0inokxSdQxaoR4U/view?usp=sharing,Isabel Kiefer (OPENGIS.ch),
11:35 - 11:50,Risikokataster QRcat Kanton Solothurn,Cadastre des risques QRcat canton de Soleure,https://drive.google.com/file/d/1q3KULLbbVuvEEuFuLktoEYSMRXkFEwS6/view?usp=sharing,"Andreas Neumann<br/>
(ehemals Kanton Solothurn)","Andi Neumann<br/>
(autrefois Canton de Soleure)"
11:50 - 12:10,"Gewässerinformationssystem Solothurn: INTERLIS, PostGIS und QGIS Hand-in-Hand","Système d'information sur les eaux de Soleure : INTERLIS, PostGIS et QGIS main dans la main",https://drive.google.com/file/d/1LKGtt7wgu7CT-j0fLJjkBWOObhZgpq8E/view?usp=sharing,Oliver Grimm (Geowerkstatt),
12:10 - 12:30,Ferngesteuertes Seilbahngefährt für die Vermessung von Luftfahrt-Hindernissen. Und PostGIS als zentrale Datenspeicherung und -analyse.,Véhicule à câble télécommandé pour la mesure des obstacles aéronautiques. Et PostGIS comme stockage et analyse centralisés des données.,https://drive.google.com/file/d/1tjhyKam1uScslVX8HNssZfdy1aWkR1FW/view?usp=sharing,Yvo Weidmann (GEOIDEE GmbH),
12:30 - 13:30,Mittagspause,Pause de midi,,,
13:30 - 15:30,Workshops Teil 1,Workshops partie 1,,,
,"A: <b>3D Visualisierung, LiDAR Punktwolken und das Profilwerkzeug</b><br/>
Hörsaal OVR A111 (1. Stock)<br/>
Einführung in die 3D-Darstellung von QGIS, inkl. Navigation und Symbolisierung. Punktwolkendarstellung und Filterung. Handhabung des Profilwerkzeuges","A: <b>Visualisation 3D, nuages de points LiDAR et l'outil de profil</b><br/>
OVR A111 (permier étage)<br/>
Introduction à la représentation 3D de QGIS, y compris la navigation et la symbolisation. Représentation de nuages de points et filtrage. Manipulation de l'outil de profil.",,A: Andreas Neumann (ETH Zürich),
,"B: <b>QField und Formulare</b><br/>
Hörsaal OVR B187 (1. Stock)<br/>
Workshop zur Gestaltung von interaktiven Formularen in QGIS mit Anwendung in QField, verschiedene Funktionalitäten für Datendarstellung und -validierung.","B: <b>QField et formulaires</b><br/>
OVR B187 (premier étage)<br/>
Workshop sur la conception de formulaires interactifs dans QGIS avec application dans QField, différentes fonctionnalités pour la représentation et la validation des données.",,B: OPENGIS.ch,
15:30 - 15:45,Kaffeepause,Pause café,,,
15:45 - 16:50,Workshops Teil 2 (siehe oben),Workshops partie 2,,siehe oben,voir ci-dessus
